population,agency_name,year,state,state_abb,population_group,country_division,fips_state_county_code,longitude,latitude,sale_cannabis_arrests,sale_heroin_coke_arrests,sale_other_drug_arrests,sale_synth_narc_arrests,poss_cannabis_arrests,poss_heroin_coke_arrests,poss_other_drug_arrests,poss_synth_narc_arrests,total_arrests,total_non-cannabis_arrests,tot_posession,tot_sale
287731,anchorage,2019,alaska,AK,"city 250,000 thru 499,999",pacific,2020,-149.284329,61.17425,5,22,13,0,95,106,143,12,396,296,356,40
31493,fairbanks,2019,alaska,AK,"city 25,000 thru 49,999",pacific,2090,-146.601909,64.691501,1,0,1,0,0,23,6,0,31,30,29,2
31810,juneau,2019,alaska,AK,"city 25,000 thru 49,999",pacific,2110,-134.178445,58.37291,2,6,3,3,37,6,7,6,70,31,56,14
8316,ketchikan,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2130,-131.106685,55.449938,0,1,0,12,5,2,0,2,22,17,9,13
5947,kodiak,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2150,-153.630606,57.553159,0,0,0,1,0,5,0,3,9,9,8,1
3899,nome,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2180,-164.188912,64.783686,0,0,0,0,0,0,0,0,0,0,0,0
3181,petersburg,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2198,-132.875734,55.415683,0,0,0,0,0,0,0,0,0,0,0,0
2732,seward,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2122,-152.322283,60.366668,0,0,0,0,2,0,0,0,2,0,2,0
8512,sitka,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2220,-135.367396,57.193204,0,1,0,0,2,5,0,12,20,18,19,1
1159,skagway,2019,alaska,AK,"city under 2,500",pacific,2230,-135.335418,59.575097,0,0,0,0,0,0,0,0,0,0,0,0
2489,wrangell,2019,alaska,AK,"city under 2,500",pacific,2275,-132.040325,56.279121,0,0,0,0,0,0,0,0,0,0,0,0
3816,valdez,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2261,-145.023141,61.34984,0,0,0,0,0,0,0,2,2,2,2,0
6544,bethel,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2050,-160.15335,60.928916,0,0,0,0,3,0,4,0,7,4,7,0
2150,cordova,2019,alaska,AK,"city under 2,500",pacific,2261,-145.023141,61.34984,0,0,0,0,0,0,0,0,0,0,0,0
3272,kotzebue,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2188,-160.021086,67.005066,0,0,0,0,2,0,0,0,2,0,2,0
7490,palmer,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2170,-149.407974,62.182174,1,1,1,0,3,12,1,1,20,16,17,3
9801,north slope borough,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2185,-153.47283,69.449343,0,0,0,0,0,0,0,0,0,0,0,0
277,seldovia,2019,alaska,AK,"city under 2,500",pacific,2122,-152.322283,60.366668,0,0,0,0,0,0,0,0,0,0,0,0
4756,soldotna,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2122,-152.322283,60.366668,2,3,1,1,19,6,3,2,37,16,30,7
2441,haines,2019,alaska,AK,"city under 2,500",pacific,2100,-135.576936,59.098771,0,0,0,0,0,0,0,0,0,0,0,0
5913,homer,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2122,-152.322283,60.366668,2,0,0,0,2,1,1,1,7,3,5,2
7862,kenai,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2122,-152.322283,60.366668,0,0,0,0,8,0,38,13,59,51,59,0
0,metlakatla tribal,2019,alaska,AK,"city under 2,500",pacific,2198,-132.875734,55.415683,0,0,0,0,0,0,0,0,0,0,0,0
0,fairbanks intrnl airport,2019,alaska,AK,"city under 2,500",pacific,2090,-146.601909,64.691501,0,0,0,0,0,0,0,0,0,0,0,0
0,ted stevens anchorage in,2019,alaska,AK,"city under 2,500",pacific,2020,-149.284329,61.17425,0,0,0,1,25,22,0,1,49,24,48,1
203,whittier,2019,alaska,AK,"city under 2,500",pacific,2261,-145.023141,61.34984,0,0,0,0,0,0,0,0,0,0,0,0
2405,dillingham,2019,alaska,AK,"city under 2,500",pacific,2070,-158.602233,59.824816,0,0,0,0,0,0,0,0,0,0,0,0
792,hoonah,2019,alaska,AK,"city under 2,500",pacific,2105,-135.1851,58.076434,0,0,0,0,0,0,0,0,0,0,0,0
2111,north pole,2019,alaska,AK,"city under 2,500",pacific,2090,-146.601909,64.691501,0,0,0,0,0,1,10,0,11,11,11,0
4513,unalaska,2019,alaska,AK,"city 2,500 thru 9,999",pacific,2016,178.338813,51.959447,0,0,0,1,0,0,0,1,2,2,1,1
822,klawock,2019,alaska,AK,"city under 2,500",pacific,2198,-132.875734,55.415683,0,0,0,0,0,0,0,0,0,0,0,0
0,univ of ak: fairbanks,2019,alaska,AK,"city under 2,500",pacific,2090,-146.601909,64.691501,0,0,1,0,0,0,0,1,2,2,1,1
0,univ of ak: anchorage,2019,alaska,AK,"city under 2,500",pacific,2020,-149.284329,61.17425,0,0,0,1,0,0,0,0,1,1,0,1
1313,craig,2019,alaska,AK,"city under 2,500",pacific,2198,-132.875734,55.415683,0,0,0,0,0,0,0,0,0,0,0,0
852,bristol bay borough,2019,alaska,AK,"city under 2,500",pacific,2060,-156.986661,58.732389,0,1,0,0,0,0,0,0,1,1,0,1
498,st. paul,2019,alaska,AK,"city under 2,500",pacific,2016,178.338813,51.959447,0,0,0,0,0,0,0,0,0,0,0,0
1161,sand point,2019,alaska,AK,"city under 2,500",pacific,2013,-161.997477,55.245044,0,0,0,0,0,0,0,0,0,0,0,0
10915,wasilla,2019,alaska,AK,"city 10,000 thru 24,999",pacific,2170,-149.407974,62.182174,5,0,2,9,21,0,0,0,37,11,21,16
0,"state troopers, juneau",2019,alaska,AK,non-msa state police,pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264369,alaska state troopers,2019,alaska,AK,"non-msa county 100,000+",pacific,0,0,0,6,25,26,2,32,86,104,30,311,273,252,59
0,"state troopers, bethel",2019,alaska,AK,non-msa state police,pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"state troopers hqs, anch",2019,alaska,AK,msa state police,pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,bureau of atf anchorage,2019,99,0,"city under 2,500",pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,"fbi, anchorage",2019,alaska,AK,"city under 2,500",pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146301,jefferson,2019,alabama,AL,"msa-county 100,000+",east south central,1073,-86.896536,33.553444,0,0,0,0,0,0,0,0,0,0,0,0
26402,bessemer,2019,alabama,AL,"city 25,000 thru 49,999",east south central,1073,-86.896536,33.553444,1,6,2,0,17,51,29,2,108,90,99,9
208025,birmingham,2019,alabama,AL,"city 100,000 thru 249,999",east south central,1073,-86.896536,33.553444,0,0,0,0,0,0,0,0,0,0,0,0
20292,mountain brook,2019,alabama,AL,"city 10,000 thru 24,999",east south central,1073,-86.896536,33.553444,0,0,0,0,0,0,22,0,22,22,22,0
10564,fairfield,2019,alabama,AL,"city 10,000 thru 24,999",east south central,1073,-86.896536,33.553444,0,0,0,0,1,1,1,0,3,2,3,0
14036,gardendale,2019,alabama,AL,"city 10,000 thru 24,999",east south central,1073,-86.896536,33.553444,0,0,0,0,0,0,0,0,0,0,0,0
9957,leeds,2019,alabama,AL,"city 10,000 thru 24,999",east south central,1073,-86.896536,33.553444,0,0,0,0,2,0,1,0,3,1,3,0
5031,midfield,2019,alabama,AL,"city 2,500 thru 9,999",east south central,1073,-86.896536,33.553444,0,0,0,0,1,1,0,0,2,1,2,0
6131,tarrant,2019,alabama,AL,"city 2,500 thru 9,999",east south central,1073,-86.896536,33.553444,0,3,2,0,8,20,16,1,50,42,45,5
34513,vestavia hills,2019,alabama,AL,"city 25,000 thru 49,999",east south central,1073,-86.896536,33.553444,0,1,1,1,16,28,13,17,77,61,74,3
25428,homewood,2019,alabama,AL,"city 25,000 thru 49,999",east south central,1073,-86.896536,33.553444,0,3,0,1,14,78,51,41,188,174,184,4
9344,fultondale,2019,alabama,AL,"city 2,500 thru 9,999",east south central,1073,-86.896536,33.553444,0,0,0,0,2,4,1,1,8,6,8,0
60741,hoover,2019,alabama,AL,"city 50,000 thru 99,999",east south central,1073,-86.896536,33.553444,2,1,4,0,137,44,108,1,297,158,290,7
12582,irondale,2019,alabama,AL,"city 10,000 thru 24,999",east south central,1073,-86.896536,33.553444,0,0,0,0,8,0,2,1,11,3,11,0
10101,pleasant grove,2019,alabama,AL,"city 10,000 thru 24,999",east south central,1073,-86.896536,33.553444,1,0,0,0,10,13,13,0,37,26,36,1
2766,brighton,2019,alabama,AL,"city 2,500 thru 9,999",east south central,1073,-86.896536,33.553444,0,0,0,0,0,0,0,0,0,0,0,0
15290,hueytown,2019,alabama,AL,"city 10,000 thru 24,999",east south central,1073,-86.896536,33.553444,0,0,0,1,6,4,4,2,17,11,16,1
2142,lipscomb,2019,alabama,AL,"city under 2,500",east south central,1073,-86.896536,33.553444,0,0,0,0,0,0,0,0,0,0,0,0
22331,trussville,2019,alabama,AL,"city 10,000 thru 24,999",east south central,1073,-86.896536,33.553444,0,1,0,0,4,4,3,1,13,9,12,1
4302,adamsville,2019,alabama,AL,"city 2,500 thru 9,999",east south central,1073,-86.896536,33.553444,0,0,0,0,0,0,2,0,2,2,2,0
3202,warrior,2019,alabama,AL,"city 2,500 thru 9,999",east south central,1073,-86.896536,33.553444,0,0,0,0,0,1,0,0,1,1,1,0
0,univ of al: birmingham,2019,alabama,AL,"city under 2,500",east south central,1073,-86.896536,33.553444,1,0,0,0,3,2,2,0,8,4,7,1
624,trafford,2019,alabama,AL,"city under 2,500",east south central,1073,-86.896536,33.553444,0,0,0,0,0,0,0,0,0,0,0,0
2156,morris,2019,alabama,AL,"city under 2,500",east south central,1073,-86.896536,33.553444,0,0,0,0,0,1,0,0,1,1,1,0
1318,brookside,2019,alabama,AL,"city under 2,500",east south central,1073,-86.896536,33.553444,0,0,0,0,0,0,0,0,0,0,0,0
