,ori,ori9,population,agency_name,year,state,state_abb,population_group,country_division,fips_state_code,fips_county_code,fips_state_county_code,fips_place_code,longitude,latitude,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,Total Crimes
1,AK00101,AK0010100,287731,anchorage,2019,alaska,AK,"city 250,000 thru 499,999",pacific,02,020,02020,03000,-149.284329,61.17425,1145,20,298,274,20,45,203,992,2997
48,AK00102,AK0010200,31493,fairbanks,2019,alaska,AK,"city 25,000 thru 49,999",pacific,02,090,02090,24230,-146.601909,64.691501,57,1,20,43,2,6,20,220,369
95,AK00103,AK0010300,31810,juneau,2019,alaska,AK,"city 25,000 thru 49,999",pacific,02,110,02110,36400,-134.178445,58.37291,91,3,34,18,2,1,20,162,331
142,AK00104,AK0010400,8316,ketchikan,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,130,02130,38970,-131.106685,55.449938,27,2,6,10,0,0,0,89,134
189,AK00105,AK0010500,5947,kodiak,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,150,02150,40950,-153.630606,57.553159,16,0,1,5,0,2,5,12,41
236,AK00106,AK0010600,3899,nome,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,180,02180,54920,-164.188912,64.783686,44,3,8,5,0,3,2,11,76
283,AK00107,AK0010700,3181,petersburg,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,198,02198,60310,-132.875734,55.415683,7,0,4,1,0,0,0,3,15
330,AK00108,AK0010800,2732,seward,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,122,02122,68560,-152.322283,60.366668,2,0,3,2,0,1,0,13,21
373,AK00109,AK0010900,8512,sitka,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,220,02220,70540,-135.367396,57.193204,6,0,4,5,0,2,1,27,45
420,AK00110,AK0011000,1159,skagway,2019,alaska,AK,"city under 2,500",pacific,02,230,02230,99230,-135.335418,59.575097,0,0,0,1,0,0,0,0,1
467,AK00111,AK0011100,2489,wrangell,2019,alaska,AK,"city under 2,500",pacific,02,275,02275,86380,-132.040325,56.279121,0,0,2,1,0,2,0,5,10
514,AK00112,AK0011200,3816,valdez,2019,alaska,AK,"city 2,500 thru 9,999",pacific,02,261,02261,82200,-145.023141,61.34984,0,0,0,4,0,0,0,2,6
