,FIPS_Code,Unemployment_rate_2019,Median_Household_Income_2019
0,1001,2.7,58233.0
1,1003,2.8,59871.0
2,1005,3.8,35972.0
3,1007,3.1,47918.0
4,1009,2.7,52902.0
5,1011,3.7,31906.0
6,1013,3.7,39944.0
7,1015,3.6,47747.0
8,1017,2.9,42015.0
9,1019,2.9,45982.0
10,1021,2.7,49692.0
11,1023,4.7,39808.0
12,1025,5.8,43822.0
13,1027,3.0,40562.0
14,1029,3.2,51276.0
15,1031,2.9,57299.0
16,1033,3.8,46683.0
17,1035,4.0,41539.0
18,1037,3.0,42024.0
19,1039,3.5,44836.0
20,1041,2.8,43309.0
21,1043,2.6,50897.0
22,1045,3.2,45120.0
23,1047,5.5,34034.0
24,1049,2.8,44277.0
25,1051,2.6,62310.0
26,1053,3.5,42712.0
27,1055,3.4,43047.0
28,1057,3.1,44212.0
29,1059,2.8,44874.0
30,1061,3.0,43089.0
31,1063,5.6,28699.0
32,1065,4.0,40745.0
33,1067,3.6,48597.0
34,1069,3.0,50138.0
35,1071,3.3,44322.0
36,1073,2.9,54127.0
37,1075,3.1,42686.0
38,1077,3.3,48188.0
39,1079,3.2,47797.0
40,1081,2.8,54160.0
41,1083,2.7,64729.0
42,1085,5.8,33930.0
43,1087,4.3,34281.0
44,1089,2.6,68609.0
45,1091,3.5,38838.0
46,1093,3.5,44675.0
47,1095,2.5,48913.0
48,1097,3.7,49492.0
49,1099,4.8,40005.0
50,1101,3.1,52711.0
51,1103,2.6,54355.0
52,1105,5.3,29572.0
53,1107,3.5,40249.0
54,1109,3.3,41271.0
55,1111,3.1,42922.0
56,1113,3.0,43670.0
57,1115,2.7,65403.0
58,1117,2.2,77801.0
59,1119,4.6,29209.0
60,1121,3.4,47719.0
61,1123,3.0,47100.0
62,1125,2.7,52307.0
63,1127,3.3,45991.0
64,1129,4.7,48864.0
65,1131,7.2,30998.0
66,1133,3.3,40827.0
67,2013,2.3,66923.0
68,2016,3.1,84726.0
69,2020,4.4,82512.0
70,2050,11.5,48262.0
71,2060,5.3,87950.0
72,2068,7.4,78434.0
73,2070,7.0,57436.0
74,2090,4.7,74076.0
75,2100,7.9,62548.0
76,2110,3.9,85419.0
77,2122,6.0,68625.0
78,2130,5.5,75706.0
79,2150,4.9,79669.0
80,2158,17.6,35369.0
81,2164,8.9,51693.0
82,2170,6.1,75856.0
83,2180,9.8,58464.0
84,2185,5.6,84784.0
85,2188,12.6,61660.0
86,2220,3.6,80660.0
87,2240,7.9,69646.0
88,2261,6.7,74574.0
89,2282,6.7,61587.0
90,2290,12.6,42063.0
91,4001,10.1,35386.0
92,4003,5.8,48650.0
93,4005,5.8,58301.0
94,4007,5.7,45980.0
95,4009,4.9,50685.0
96,4011,4.0,68066.0
97,4012,6.0,39407.0
98,4013,4.2,68634.0
99,4015,5.9,49712.0
100,4017,7.6,40676.0
101,4019,4.5,56150.0
102,4021,5.0,62067.0
103,4023,8.7,47779.0
104,4025,4.6,54242.0
105,4027,16.8,47024.0
106,5001,3.0,52539.0
107,5003,5.4,47744.0
108,5005,4.0,41950.0
109,5007,2.6,70775.0
110,5009,3.2,50083.0
111,5011,4.1,39982.0
112,5013,4.4,48415.0
113,5015,3.1,43841.0
114,5017,6.9,37014.0
115,5019,3.8,44105.0
116,5021,4.8,40686.0
117,5023,4.5,46214.0
118,5025,3.9,53773.0
119,5027,4.4,42964.0
120,5029,4.3,46924.0
121,5031,2.8,47766.0
122,5033,3.3,44600.0
123,5035,4.2,41976.0
124,5037,4.2,45273.0
125,5039,4.6,41314.0
126,5041,4.4,37005.0
127,5043,5.2,44162.0
128,5045,3.0,58482.0
129,5047,3.3,45670.0
130,5049,4.0,32926.0
131,5051,3.7,45786.0
132,5053,3.2,58566.0
133,5055,3.5,47098.0
134,5057,3.8,40867.0
135,5059,3.6,45860.0
136,5061,3.2,41427.0
137,5063,4.0,47903.0
138,5065,5.4,40233.0
139,5067,6.5,38636.0
140,5069,5.4,40555.0
141,5071,4.5,40396.0
142,5073,4.6,37164.0
143,5075,4.1,39604.0
144,5077,4.5,30421.0
145,5079,4.3,44272.0
146,5081,4.3,43257.0
147,5083,4.3,42249.0
148,5085,3.2,62782.0
149,5087,2.6,48016.0
150,5089,4.0,38760.0
151,5091,4.1,50905.0
152,5093,5.1,39990.0
153,5095,4.2,34289.0
154,5097,4.6,39591.0
155,5099,3.9,36528.0
156,5101,3.5,37648.0
157,5103,5.1,46393.0
158,5105,4.0,50560.0
159,5107,5.9,31521.0
160,5109,3.8,44426.0
161,5111,3.4,40536.0
162,5113,4.2,39722.0
163,5115,4.3,47519.0
164,5117,4.3,46205.0
165,5119,3.4,52684.0
166,5121,3.8,42875.0
167,5123,5.1,34389.0
168,5125,2.8,66944.0
169,5127,3.4,38065.0
170,5129,4.5,34712.0
171,5131,3.3,48945.0
172,5133,4.8,43493.0
173,5135,4.9,37591.0
174,5137,4.7,36930.0
175,5139,5.2,46602.0
176,5141,4.9,38096.0
177,5143,2.5,52158.0
178,5145,4.4,46388.0
179,5147,5.2,36568.0
180,5149,4.0,44469.0
181,6001,3.0,107589.0
182,6003,5.4,58112.0
183,6005,3.9,62640.0
184,6007,5.2,58394.0
185,6009,3.9,68248.0
186,6011,13.0,59048.0
187,6013,3.1,106555.0
