fips_state_county_code,population,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,sale_cannabis_tot_arrests,sale_heroin_coke_tot_arrests,sale_other_drug_tot_arrests,sale_synth_narc_tot_arrests,poss_cannabis_tot_arrests,poss_heroin_coke_tot_arrests,poss_other_drug_tot_arrests,poss_synth_narc_tot_arrests,all_other_tot_arrests,curfew_loiter_tot_arrests,disorder_cond_tot_arrests,family_off_tot_arrests,manslaught_neg_tot_arrests,oth_assault_tot_arrests,oth_sex_off_tot_arrests,prostitution_tot_arrests,runaways_tot_arrests,suspicion_tot_arrests,vagrancy_tot_arrests,vandalism_tot_arrests,weapons_tot_arrests
0,1359077,1328,147,496,224,52,102,159,2007,288,547,376,193,2648,904,1680,444,17506,31,1653,288,13,3951,136,16,28,44,84,547,633
1001,55573,17,1,12,16,3,5,9,113,0,0,8,0,60,8,37,11,1001,0,7,28,0,125,4,0,0,0,0,8,6
1003,222871,246,2,123,22,10,34,40,772,3,13,5,18,143,186,331,46,6238,0,98,17,0,762,62,0,0,0,0,78,83
1005,24595,14,0,1,1,3,1,3,32,0,2,1,0,6,9,3,8,172,0,9,0,0,70,1,0,0,0,0,6,3
1007,22291,18,1,20,6,1,4,8,39,2,1,3,0,3,5,11,4,381,0,5,5,0,87,4,0,0,0,0,9,5
1009,56533,32,0,29,4,2,1,1,103,0,0,1,0,3,7,25,7,861,0,6,1,0,89,4,0,0,0,0,9,7
1011,10052,10,0,4,0,0,0,1,2,0,0,0,0,1,0,0,0,23,0,3,0,0,26,0,0,0,0,0,3,3
1013,19532,21,0,5,2,1,0,7,48,0,0,0,0,2,1,1,8,53,0,12,1,0,58,1,0,0,0,0,9,4
1015,113586,98,4,75,25,8,4,18,422,1,3,12,5,113,55,86,123,2083,0,35,6,0,407,5,0,0,0,3,44,37
1017,33558,27,2,13,5,3,7,6,91,2,0,0,2,6,32,23,41,1183,0,21,5,0,146,7,0,0,0,0,9,14
