,FIPS,pct_less_HS,pct_HS,pct_some_college,pct_college
0,0,12.0,27.0,28.9,32.1
1,1000,13.8,30.8,29.9,25.5
2,1001,11.5,33.6,28.4,26.6
3,1003,9.2,27.7,31.3,31.9
4,1005,26.8,35.6,26.0,11.6
5,1007,20.9,44.9,23.8,10.4
6,1009,19.5,33.4,34.0,13.1
7,1011,25.3,40.3,22.3,12.1
8,1013,15.0,45.2,23.7,16.1
9,1015,15.6,32.8,33.2,18.5
10,1017,18.4,36.7,31.6,13.3
11,1019,18.4,40.3,28.6,12.8
12,1021,18.2,44.4,24.6,12.7
13,1023,18.6,37.7,31.8,11.9
14,1025,19.4,41.8,26.6,12.2
15,1027,23.3,37.8,28.3,10.6
16,1029,21.0,38.0,25.6,15.4
17,1031,14.1,27.2,35.9,22.8
18,1033,14.8,37.8,29.2,18.1
19,1035,15.7,51.1,20.4,12.8
20,1037,20.0,40.3,26.9,12.8
21,1039,16.6,37.3,30.8,15.3
22,1041,20.8,39.5,22.3,17.4
23,1043,18.4,34.1,33.6,13.9
24,1045,13.9,32.3,35.7,18.1
25,1047,18.2,35.9,31.2,14.7
26,1049,25.2,34.2,27.6,13.0
27,1051,13.4,32.5,29.1,25.1
28,1053,18.9,43.7,24.9,12.5
29,1055,15.4,32.9,33.9,17.8
30,1057,17.4,41.3,28.9,12.4
31,1059,22.8,36.6,26.6,14.0
32,1061,19.7,36.0,31.8,12.5
33,1063,20.8,38.6,30.5,10.1
34,1065,16.0,43.4,26.4,14.2
35,1067,20.6,32.6,29.8,17.1
36,1069,14.0,31.2,33.1,21.7
37,1071,16.8,41.0,28.2,14.0
38,1073,9.9,26.4,30.3,33.4
39,1075,17.7,39.8,30.6,11.9
40,1077,12.6,36.0,27.9,23.5
41,1079,20.7,41.2,25.5,12.6
42,1081,9.1,23.7,31.8,35.3
43,1083,15.3,30.4,28.6,25.7
44,1085,21.7,39.6,24.0,14.7
45,1087,18.2,30.2,31.2,20.4
46,1089,8.3,20.6,28.3,42.8
47,1091,16.2,38.0,29.8,16.1
48,1093,20.4,34.8,32.0,12.8
49,1095,18.4,31.1,31.1,19.4
50,1097,13.5,34.0,29.3,23.2
51,1099,14.4,47.2,24.9,13.5
52,1101,13.3,25.0,28.4,33.4
53,1103,15.9,30.4,31.3,22.4
54,1105,17.2,36.9,23.1,22.8
55,1107,18.5,37.2,30.2,14.1
56,1109,15.0,35.7,25.5,23.7
57,1111,20.4,34.9,28.2,16.5
58,1113,16.2,31.4,34.6,17.8
59,1115,15.4,35.6,32.9,16.1
60,1117,7.3,19.8,29.9,42.9
61,1119,13.3,35.4,29.8,21.6
62,1121,19.7,33.7,31.6,15.0
63,1123,19.3,32.7,29.5,18.4
64,1125,11.7,29.9,27.7,30.7
65,1127,18.2,37.5,33.0,11.3
66,1129,17.4,43.1,26.9,12.7
67,1131,23.5,39.5,24.5,12.5
