,State,County,1a1w0c,1a1w1c,1a1w2c,1a1w3c,2a1w0c,2a1w1c,2a1w2c,2a1w3c,2a2w0c,2a2w1c,2a2w2c,2a2w3c
0,Alabama,Autauga County,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18
3,Alabama,Baldwin County,$14.73,$28.08,$34.25,$43.94,$22.94,$27.30,$30.90,$33.45,$11.47,$15.42,$19.00,$22.05
6,Alabama,Barbour County,$12.83,$25.27,$30.65,$38.26,$21.04,$25.28,$28.89,$30.16,$10.52,$14.02,$17.20,$19.22
9,Alabama,Bibb County,$15.16,$28.20,$34.01,$43.10,$23.74,$27.80,$31.40,$33.74,$11.87,$15.49,$18.88,$21.64
12,Alabama,Blount County,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15
15,Alabama,Bullock County,$12.81,$25.82,$31.90,$40.50,$21.06,$25.13,$28.74,$30.31,$10.53,$14.29,$17.82,$20.34
18,Alabama,Butler County,$12.81,$25.82,$31.90,$40.30,$21.32,$25.13,$28.74,$30.11,$10.66,$14.29,$17.82,$20.24
21,Alabama,Calhoun County,$12.77,$25.75,$31.13,$39.12,$21.39,$25.76,$29.36,$31.03,$10.70,$14.26,$17.44,$19.65
24,Alabama,Chambers County,$12.89,$26.63,$33.02,$41.98,$21.83,$25.64,$29.24,$30.86,$10.92,$14.70,$18.38,$21.08
27,Alabama,Cherokee County,$12.72,$24.86,$29.98,$37.75,$20.92,$25.13,$28.74,$30.43,$10.46,$13.82,$16.87,$18.96
30,Alabama,Chilton County,$13.66,$26.54,$32.62,$42.07,$22.08,$25.86,$29.46,$31.88,$11.04,$14.66,$18.19,$21.12
33,Alabama,Choctaw County,$12.75,$25.58,$31.39,$39.39,$20.95,$25.18,$28.78,$30.03,$10.48,$14.18,$17.57,$19.78
36,Alabama,Clarke County,$12.81,$25.91,$32.09,$41.32,$21.22,$25.13,$28.74,$30.83,$10.61,$14.34,$17.92,$20.74
39,Alabama,Clay County,$12.87,$25.12,$30.50,$38.92,$21.44,$25.13,$28.74,$30.83,$10.72,$13.95,$17.13,$19.55
42,Alabama,Cleburne County,$12.72,$25.12,$30.50,$38.79,$20.92,$25.13,$28.74,$30.69,$10.46,$13.95,$17.13,$19.48
45,Alabama,Coffee County,$13.10,$25.50,$30.88,$39.47,$21.46,$25.51,$29.12,$31.37,$10.73,$14.13,$17.31,$19.82
48,Alabama,Colbert County,$12.98,$26.92,$33.37,$42.36,$21.63,$25.86,$29.46,$31.05,$10.82,$14.84,$18.56,$21.26
51,Alabama,Conecuh County,$12.81,$25.91,$32.09,$41.25,$21.24,$25.13,$28.74,$30.77,$10.62,$14.34,$17.92,$20.71
54,Alabama,Coosa County,$12.99,$25.48,$30.86,$38.52,$21.19,$25.49,$29.09,$30.42,$10.60,$14.12,$17.30,$19.35
57,Alabama,Covington County,$12.81,$25.82,$31.90,$40.56,$21.09,$25.13,$28.74,$30.37,$10.55,$14.29,$17.82,$20.37
60,Alabama,Crenshaw County,$12.72,$25.12,$30.50,$38.08,$20.92,$25.13,$28.74,$29.98,$10.46,$13.95,$17.13,$19.13
