FIPS,State,County,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
1001,Alabama,Autauga County,7238,7379,9960,11672,3554,5144,44948,10559,55507
1003,Alabama,Baldwin County,7238,7379,10992,11672,3554,5144,45980,10800,56780
1005,Alabama,Barbour County,7238,7379,7596,11672,3554,5144,42584,10006,52590
1007,Alabama,Bibb County,7238,7379,11832,11672,3554,5144,46820,10996,57816
1009,Alabama,Blount County,7238,7379,11832,11672,3554,5144,46820,10996,57816
1011,Alabama,Bullock County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1013,Alabama,Butler County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1015,Alabama,Calhoun County,7238,7379,8400,11672,3554,5144,43388,10194,53582
1017,Alabama,Chambers County,7238,7379,8196,11672,3554,5144,43184,10146,53330
1019,Alabama,Cherokee County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1021,Alabama,Chilton County,7238,7379,8568,11672,3554,5144,43556,10233,53789
1023,Alabama,Choctaw County,7238,7379,7416,11672,3554,5144,42404,9964,52368
1025,Alabama,Clarke County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1027,Alabama,Clay County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1029,Alabama,Cleburne County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1031,Alabama,Coffee County,7238,7379,7980,11672,3554,5144,42968,10096,53064
1033,Alabama,Colbert County,7238,7379,8568,11672,3554,5144,43556,10233,53789
1035,Alabama,Conecuh County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1037,Alabama,Coosa County,7238,7379,7944,11672,3554,5144,42932,10087,53019
1039,Alabama,Covington County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1041,Alabama,Crenshaw County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1043,Alabama,Cullman County,7238,7379,7740,11672,3554,5144,42728,10039,52768
1045,Alabama,Dale County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1065,Alabama,Dale County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1045,Alabama,Hale County,7238,7379,10620,11672,3554,5144,45608,10713,56321
1065,Alabama,Hale County,7238,7379,10620,11672,3554,5144,45608,10713,56321
1047,Alabama,Dallas County,7238,7379,7416,11672,3554,5144,42404,9964,52368
1049,Alabama,DeKalb County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1051,Alabama,Elmore County,7238,7379,9960,11672,3554,5144,44948,10559,55507
1053,Alabama,Escambia County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1055,Alabama,Etowah County,7238,7379,8316,11672,3554,5144,43304,10174,53478
1057,Alabama,Fayette County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1059,Alabama,Franklin County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1061,Alabama,Geneva County,7238,7379,7992,11672,3554,5144,42980,10098,53079
1063,Alabama,Greene County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1067,Alabama,Henry County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1069,Alabama,Houston County,7238,7379,7992,11672,3554,5144,42980,10098,53079
1071,Alabama,Jackson County,7238,7379,7764,11672,3554,5144,42752,10045,52797
1073,Alabama,Jefferson County,7238,7379,11832,11672,3554,5144,46820,10996,57816
1075,Alabama,Lamar County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1077,Alabama,Lauderdale County,7238,7379,8568,11672,3554,5144,43556,10233,53789
1079,Alabama,Lawrence County,7238,7379,8244,11672,3554,5144,43232,10157,53389
1081,Alabama,Lee County,7238,7379,9732,11672,3554,5144,44720,10505,55225
1083,Alabama,Limestone County,7238,7379,9384,11672,3554,5144,44372,10424,54796
1085,Alabama,Lowndes County,7238,7379,9960,11672,3554,5144,44948,10559,55507
1087,Alabama,Macon County,7238,7379,7644,11672,3554,5144,42632,10017,52649
1087,Alabama,Marion County,7238,7379,7344,11672,3554,5144,42332,9947,52279
1089,Alabama,Marion County,7238,7379,7344,11672,3554,5144,42332,9947,52279
