,State,County,Min_Wage
2,Alabama,Autauga County,$7.25
5,Alabama,Baldwin County,$7.25
8,Alabama,Barbour County,$7.25
11,Alabama,Bibb County,$7.25
14,Alabama,Blount County,$7.25
17,Alabama,Bullock County,$7.25
20,Alabama,Butler County,$7.25
23,Alabama,Calhoun County,$7.25
26,Alabama,Chambers County,$7.25
29,Alabama,Cherokee County,$7.25
32,Alabama,Chilton County,$7.25
35,Alabama,Choctaw County,$7.25
38,Alabama,Clarke County,$7.25
41,Alabama,Clay County,$7.25
44,Alabama,Cleburne County,$7.25
47,Alabama,Coffee County,$7.25
50,Alabama,Colbert County,$7.25
53,Alabama,Conecuh County,$7.25
56,Alabama,Coosa County,$7.25
59,Alabama,Covington County,$7.25
62,Alabama,Crenshaw County,$7.25
65,Alabama,Cullman County,$7.25
68,Alabama,Dale County,$7.25
71,Alabama,Dallas County,$7.25
74,Alabama,DeKalb County,$7.25
77,Alabama,Elmore County,$7.25
80,Alabama,Escambia County,$7.25
83,Alabama,Etowah County,$7.25
86,Alabama,Fayette County,$7.25
89,Alabama,Franklin County,$7.25
92,Alabama,Geneva County,$7.25
95,Alabama,Greene County,$7.25
98,Alabama,Hale County,$7.25
101,Alabama,Henry County,$7.25
104,Alabama,Houston County,$7.25
107,Alabama,Jackson County,$7.25
110,Alabama,Jefferson County,$7.25
113,Alabama,Lamar County,$7.25
116,Alabama,Lauderdale County,$7.25
119,Alabama,Lawrence County,$7.25
122,Alabama,Lee County,$7.25
125,Alabama,Limestone County,$7.25
128,Alabama,Lowndes County,$7.25
131,Alabama,Macon County,$7.25
134,Alabama,Madison County,$7.25
137,Alabama,Marengo County,$7.25
140,Alabama,Marion County,$7.25
143,Alabama,Marshall County,$7.25
146,Alabama,Mobile County,$7.25
149,Alabama,Monroe County,$7.25
152,Alabama,Montgomery County,$7.25
155,Alabama,Morgan County,$7.25
158,Alabama,Perry County,$7.25
161,Alabama,Pickens County,$7.25
164,Alabama,Pike County,$7.25
167,Alabama,Randolph County,$7.25
170,Alabama,Russell County,$7.25
173,Alabama,Shelby County,$7.25
176,Alabama,St. Clair County,$7.25
179,Alabama,Sumter County,$7.25
182,Alabama,Talladega County,$7.25
185,Alabama,Tallapoosa County,$7.25
188,Alabama,Tuscaloosa County,$7.25
191,Alabama,Walker County,$7.25
194,Alabama,Washington County,$7.25
197,Alabama,Wilcox County,$7.25
200,Alabama,Winston County,$7.25
203,Alabama,"Anniston-Oxford-Jacksonville, AL",$7.25
206,Alabama,"Auburn-Opelika, AL",$7.25
209,Alabama,"Birmingham-Hoover, AL",$7.25
212,Alabama,"Daphne-Fairhope-Foley, AL",$7.25
215,Alabama,"Decatur, AL",$7.25
218,Alabama,"Dothan, AL",$7.25
221,Alabama,"Florence-Muscle Shoals, AL",$7.25
224,Alabama,"Gadsden, AL",$7.25
227,Alabama,"Huntsville, AL",$7.25
230,Alabama,"Mobile, AL",$7.25
233,Alabama,"Montgomery, AL",$7.25
236,Alabama,"Tuscaloosa, AL",$7.25
239,Alaska,Aleutians East Borough,$10.19
242,Alaska,Aleutians West Census Area,$10.19
245,Alaska,Anchorage Municipality,$10.19
248,Alaska,Bethel Census Area,$10.19
251,Alaska,Bristol Bay Borough,$10.19
254,Alaska,Denali Borough,$10.19
257,Alaska,Dillingham Census Area,$10.19
260,Alaska,Fairbanks North Star Borough,$10.19
263,Alaska,Haines Borough,$10.19
266,Alaska,Hoonah-Angoon Census Area,$10.19
269,Alaska,Juneau City and Borough,$10.19
272,Alaska,Kenai Peninsula Borough,$10.19
275,Alaska,Ketchikan Gateway Borough,$10.19
278,Alaska,Kodiak Island Borough,$10.19
281,Alaska,Kusilvak Census Area,$10.19
284,Alaska,Lake and Peninsula Borough,$10.19
287,Alaska,Matanuska-Susitna Borough,$10.19
290,Alaska,Nome Census Area,$10.19
293,Alaska,North Slope Borough,$10.19
296,Alaska,Northwest Arctic Borough,$10.19
299,Alaska,Petersburg Borough,$10.19
302,Alaska,Prince of Wales-Hyder Census Area,$10.19
305,Alaska,Sitka City and Borough,$10.19
308,Alaska,Skagway Municipality,$10.19
311,Alaska,Southeast Fairbanks Census Area,$10.19
314,Alaska,Valdez-Cordova Census Area,$10.19
317,Alaska,Wrangell City and Borough,$10.19
320,Alaska,Yakutat City and Borough,$10.19
323,Alaska,Yukon-Koyukuk Census Area,$10.19
326,Alaska,"Anchorage, AK",$10.19
329,Alaska,"Fairbanks, AK",$10.19
332,Arizona,Apache County,$12.00
335,Arizona,Cochise County,$12.00
338,Arizona,Coconino County,$12.00
341,Arizona,Gila County,$12.00
344,Arizona,Graham County,$12.00
347,Arizona,Greenlee County,$12.00
350,Arizona,La Paz County,$12.00
353,Arizona,Maricopa County,$12.00
356,Arizona,Mohave County,$12.00
359,Arizona,Navajo County,$12.00
362,Arizona,Pima County,$12.00
365,Arizona,Pinal County,$12.00
368,Arizona,Santa Cruz County,$12.00
371,Arizona,Yavapai County,$12.00
374,Arizona,Yuma County,$12.00
377,Arizona,"Flagstaff, AZ",$12.00
380,Arizona,"Lake Havasu City-Kingman, AZ",$12.00
383,Arizona,"Phoenix-Mesa-Scottsdale, AZ",$12.00
386,Arizona,"Prescott, AZ",$12.00
389,Arizona,"Sierra Vista-Douglas, AZ",$12.00
392,Arizona,"Tucson, AZ",$12.00
395,Arizona,"Yuma, AZ",$12.00
398,Arkansas,Arkansas County,$10.00
401,Arkansas,Ashley County,$10.00
404,Arkansas,Baxter County,$10.00
407,Arkansas,Benton County,$10.00
410,Arkansas,Boone County,$10.00
413,Arkansas,Bradley County,$10.00
416,Arkansas,Calhoun County,$10.00
419,Arkansas,Carroll County,$10.00
422,Arkansas,Chicot County,$10.00
425,Arkansas,Clark County,$10.00
428,Arkansas,Clay County,$10.00
431,Arkansas,Cleburne County,$10.00
434,Arkansas,Cleveland County,$10.00
437,Arkansas,Columbia County,$10.00
440,Arkansas,Conway County,$10.00
443,Arkansas,Craighead County,$10.00
446,Arkansas,Crawford County,$10.00
449,Arkansas,Crittenden County,$10.00
452,Arkansas,Cross County,$10.00
455,Arkansas,Dallas County,$10.00
458,Arkansas,Desha County,$10.00
461,Arkansas,Drew County,$10.00
464,Arkansas,Faulkner County,$10.00
467,Arkansas,Franklin County,$10.00
470,Arkansas,Fulton County,$10.00
473,Arkansas,Garland County,$10.00
476,Arkansas,Grant County,$10.00
479,Arkansas,Greene County,$10.00
482,Arkansas,Hempstead County,$10.00
485,Arkansas,Hot Spring County,$10.00
488,Arkansas,Howard County,$10.00
491,Arkansas,Independence County,$10.00
