,State,County,1a1w0c,1a1w1c,1a1w2c,1a1w3c,2a1w0c,2a1w1c,2a1w2c,2a1w3c,2a2w0c,2a2w1c,2a2w2c,2a2w3c
1,Alabama,Autauga County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
4,Alabama,Baldwin County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
7,Alabama,Barbour County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
10,Alabama,Bibb County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
13,Alabama,Blount County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
16,Alabama,Bullock County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
19,Alabama,Butler County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
22,Alabama,Calhoun County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
25,Alabama,Chambers County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
28,Alabama,Cherokee County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
31,Alabama,Chilton County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
34,Alabama,Choctaw County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
37,Alabama,Clarke County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
40,Alabama,Clay County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
43,Alabama,Cleburne County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
46,Alabama,Coffee County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
49,Alabama,Colbert County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
52,Alabama,Conecuh County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
55,Alabama,Coosa County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
58,Alabama,Covington County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
61,Alabama,Crenshaw County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
64,Alabama,Cullman County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
67,Alabama,Dale County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
70,Alabama,Dallas County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
73,Alabama,DeKalb County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
76,Alabama,Elmore County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
79,Alabama,Escambia County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
82,Alabama,Etowah County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
85,Alabama,Fayette County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
88,Alabama,Franklin County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
91,Alabama,Geneva County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
94,Alabama,Greene County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
97,Alabama,Hale County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
100,Alabama,Henry County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
103,Alabama,Houston County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
106,Alabama,Jackson County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
109,Alabama,Jefferson County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
112,Alabama,Lamar County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
115,Alabama,Lauderdale County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
118,Alabama,Lawrence County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
121,Alabama,Lee County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
124,Alabama,Limestone County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
127,Alabama,Lowndes County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
130,Alabama,Macon County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
133,Alabama,Madison County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
136,Alabama,Marengo County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
139,Alabama,Marion County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
142,Alabama,Marshall County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
145,Alabama,Mobile County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
148,Alabama,Monroe County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
151,Alabama,Montgomery County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
154,Alabama,Morgan County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
157,Alabama,Perry County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
160,Alabama,Pickens County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
163,Alabama,Pike County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
166,Alabama,Randolph County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
169,Alabama,Russell County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
172,Alabama,Shelby County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
175,Alabama,St. Clair County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
178,Alabama,Sumter County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
181,Alabama,Talladega County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
184,Alabama,Tallapoosa County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
187,Alabama,Tuscaloosa County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
190,Alabama,Walker County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
193,Alabama,Washington County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
196,Alabama,Wilcox County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
199,Alabama,Winston County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
202,Alabama,"Anniston-Oxford-Jacksonville, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
205,Alabama,"Auburn-Opelika, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
208,Alabama,"Birmingham-Hoover, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
211,Alabama,"Daphne-Fairhope-Foley, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
214,Alabama,"Decatur, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
217,Alabama,"Dothan, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
220,Alabama,"Florence-Muscle Shoals, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
223,Alabama,"Gadsden, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
226,Alabama,"Huntsville, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
229,Alabama,"Mobile, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
232,Alabama,"Montgomery, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
235,Alabama,"Tuscaloosa, AL",$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
238,Alaska,Aleutians East Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
241,Alaska,Aleutians West Census Area,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
244,Alaska,Anchorage Municipality,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
247,Alaska,Bethel Census Area,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
250,Alaska,Bristol Bay Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
253,Alaska,Denali Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
256,Alaska,Dillingham Census Area,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
259,Alaska,Fairbanks North Star Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
262,Alaska,Haines Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
265,Alaska,Hoonah-Angoon Census Area,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
268,Alaska,Juneau City and Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
271,Alaska,Kenai Peninsula Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
274,Alaska,Ketchikan Gateway Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
277,Alaska,Kodiak Island Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
280,Alaska,Kusilvak Census Area,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
283,Alaska,Lake and Peninsula Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
286,Alaska,Matanuska-Susitna Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
289,Alaska,Nome Census Area,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
292,Alaska,North Slope Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
295,Alaska,Northwest Arctic Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
298,Alaska,Petersburg Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
301,Alaska,Prince of Wales-Hyder Census Area,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
304,Alaska,Sitka City and Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
307,Alaska,Skagway Municipality,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
310,Alaska,Southeast Fairbanks Census Area,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
313,Alaska,Valdez-Cordova Census Area,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
316,Alaska,Wrangell City and Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
319,Alaska,Yakutat City and Borough,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
322,Alaska,Yukon-Koyukuk Census Area,$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
325,Alaska,"Anchorage, AK",$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
328,Alaska,"Fairbanks, AK",$7.67,$10.36,$13.05,$15.75,$10.36,$13.05,$15.75,$18.44,$5.18,$6.53,$7.87,$9.22
331,Arizona,Apache County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
334,Arizona,Cochise County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
337,Arizona,Coconino County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
340,Arizona,Gila County,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38
