,type,1a1w0c,1a1w1c,1a1w2c,1a1w3c,2a1w0c,2a1w1c,2a1w2c,2a1w3c,2a2w0c,2a2w1c,2a2w2c,2a2w3c,State,County
1,Living Wage,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Alabama,Autauga County
2,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Autauga County
3,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Autauga County
4,Living Wage,$14.73,$28.08,$34.25,$43.94,$22.94,$27.30,$30.90,$33.45,$11.47,$15.42,$19.00,$22.05,Alabama,Baldwin County
5,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Baldwin County
6,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Baldwin County
7,Living Wage,$12.83,$25.27,$30.65,$38.26,$21.04,$25.28,$28.89,$30.16,$10.52,$14.02,$17.20,$19.22,Alabama,Barbour County
8,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Barbour County
9,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Barbour County
10,Living Wage,$15.16,$28.20,$34.01,$43.10,$23.74,$27.80,$31.40,$33.74,$11.87,$15.49,$18.88,$21.64,Alabama,Bibb County
11,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Bibb County
12,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Bibb County
13,Living Wage,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15,Alabama,Blount County
14,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Blount County
15,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Blount County
16,Living Wage,$12.81,$25.82,$31.90,$40.50,$21.06,$25.13,$28.74,$30.31,$10.53,$14.29,$17.82,$20.34,Alabama,Bullock County
17,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Bullock County
18,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Bullock County
19,Living Wage,$12.81,$25.82,$31.90,$40.30,$21.32,$25.13,$28.74,$30.11,$10.66,$14.29,$17.82,$20.24,Alabama,Butler County
20,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Butler County
21,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Butler County
22,Living Wage,$12.77,$25.75,$31.13,$39.12,$21.39,$25.76,$29.36,$31.03,$10.70,$14.26,$17.44,$19.65,Alabama,Calhoun County
23,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Calhoun County
24,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Calhoun County
25,Living Wage,$12.89,$26.63,$33.02,$41.98,$21.83,$25.64,$29.24,$30.86,$10.92,$14.70,$18.38,$21.08,Alabama,Chambers County
26,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Chambers County
27,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Chambers County
28,Living Wage,$12.72,$24.86,$29.98,$37.75,$20.92,$25.13,$28.74,$30.43,$10.46,$13.82,$16.87,$18.96,Alabama,Cherokee County
29,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Cherokee County
30,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Cherokee County
31,Living Wage,$13.66,$26.54,$32.62,$42.07,$22.08,$25.86,$29.46,$31.88,$11.04,$14.66,$18.19,$21.12,Alabama,Chilton County
32,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Alabama,Chilton County
33,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Alabama,Chilton County
34,Living Wage,$12.75,$25.58,$31.39,$39.39,$20.95,$25.18,$28.78,$30.03,$10.48,$14.18,$17.57,$19.78,Alabama,Choctaw County
