Class,Level,_1a0c,_1a1c,_1a2c,_1a3c,_2a1w0c,_2a1w1c,_2a1w2c,_2a1w3c,_2a2w0c,_2a2w1c,_2a2w2c,_2a2w3c,County,State,FIPS
0,Living Wage,$13.58,$27.37,$33.45,$42.19,$22.61,$26.69,$30.29,$32.00,$11.30,$15.07,$18.60,$21.18,Autauga County,AL,1001
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Autauga County,AL,1001
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Autauga County,AL,1001
0,Living Wage,$14.73,$28.08,$34.25,$43.94,$22.94,$27.30,$30.90,$33.45,$11.47,$15.42,$19.00,$22.05,Baldwin County,AL,1003
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Baldwin County,AL,1003
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Baldwin County,AL,1003
0,Living Wage,$12.83,$25.27,$30.65,$38.26,$21.04,$25.28,$28.89,$30.16,$10.52,$14.02,$17.20,$19.22,Barbour County,AL,1005
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Barbour County,AL,1005
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Barbour County,AL,1005
0,Living Wage,$15.16,$28.20,$34.01,$43.10,$23.74,$27.80,$31.40,$33.74,$11.87,$15.49,$18.88,$21.64,Bibb County,AL,1007
1,Poverty Wage,$6.13,$8.29,$10.44,$12.60,$8.29,$10.44,$12.60,$14.75,$4.14,$5.22,$6.30,$7.38,Bibb County,AL,1007
2,Minimum Wage,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,$7.25,Bibb County,AL,1007
0,Living Wage,$15.16,$28.54,$34.69,$44.12,$23.74,$27.80,$31.40,$33.74,$11.87,$15.66,$19.22,$22.15,Blount County,AL,1009
