Name,FIPS, 1-0-1, 1-1-1, 1-2-1, 1-3-1, 2-0-1, 2-1-1, 2-2-1, 2-3-1, 2-0-2, 2-1-2, 2-2-2, 2-3-2,Median Wage,% Less then Highschool Diploma,% High School Diploma Only,% Some College or Associates,% Bachelo's Degree or higher,% Civilian Labor Force,% Employed,% Unemployed,% Total Crimes
Abbeville,45001,-0.412555109,0.2257812,0.465321835,0.847884901,-0.015075593,0.228852233,0.390739586,0.490328824,-0.507318437,-0.324811286,-0.183105013,-0.072109078,22.79362745,0.129285861,0.239761268,0.225766619,0.109775674,0.412430541,0.399135625,0.013294917,22.22679564
Acadia,22001,-0.393400107,0.316276158,0.609542121,1.04738866,0.002030048,0.272491504,0.438964407,0.539760329,-0.499213021,-0.278009301,-0.108799857,0.027571096,21.9254902,0.150635682,0.295869807,0.174013478,0.09514381,0.418750868,0.397214117,0.021536751,67.56287342
Accomack,51001,-0.424654061,0.170947502,0.40841238,0.754912855,-0.040659132,0.166206824,0.321787261,0.389880638,-0.520329566,-0.354836802,-0.215202282,-0.119095806,23.20343137,0.130488133,0.25837249,0.177715261,0.136952683,0.499386466,0.482327238,0.017059228,26.93562386
Ada,16001,-0.596768795,-0.176042603,0.022892316,0.338084238,-0.322492565,-0.205671208,-0.096186458,0.000318141,-0.661387371,-0.544283837,-0.431130784,-0.324467806,35.43872549,0.030098976,0.139118365,0.213133401,0.239620015,0.512512955,0.500261634,0.012251322,33.98206345
Adair,19001,-0.523224727,-0.004929541,0.256505166,0.605553927,-0.186843058,-0.036245408,0.097462787,0.207596116,-0.593597461,-0.451444538,-0.301198751,-0.193880332,28.42009804,0.039487727,0.276680896,0.240128068,0.126067236,0.574306297,0.560832444,0.013473853,2.668089648
Adair,21001,-0.289115538,0.47974502,0.859569721,1.397067729,0.155729084,0.395760956,0.592988048,0.688350598,-0.421864542,-0.184,0.037609562,0.203410359,18.45588235,0.142675766,0.272602232,0.173517431,0.109453526,0.377982331,0.358514522,0.019467809,3.703115908
Adair,29001,-0.397630332,0.224170616,0.449763033,0.813270142,0.035545024,0.25971564,0.43507109,0.526540284,-0.481990521,-0.320853081,-0.183886256,-0.089099526,21.1,0.052856127,0.184206368,0.131666272,0.165995102,0.406454926,0.390653393,0.015801533,47.79963656
Adair,40001,-0.320841648,0.385112026,0.702533532,1.174028139,0.130556468,0.346980222,0.533001591,0.638636995,-0.434721766,-0.23581803,-0.051857839,0.091394074,19.40637255,0.141318287,0.341933829,0.165734804,0.085406514,0.41518338,0.399025391,0.016157989,29.75121826
Adams,8001,-0.528862107,-0.031730399,0.209524694,0.595099614,-0.268111652,-0.115668759,-0.01413042,0.112047889,-0.633920442,-0.475520633,-0.342031563,-0.196628662,36.93186275,0.101217926,0.178568129,0.19284334,0.151451579,0.526108027,0.511205377,0.014902651,67.74806956
Adams,16003,-0.44354742,0.075808321,0.317141601,0.686887015,-0.072986691,0.079477239,0.238056033,0.337932137,-0.536493346,-0.399112745,-0.258470884,-0.147180368,24.53039216,0.071477506,0.255537794,0.250742179,0.155058232,0.390728477,0.365380224,0.025348253,9.134505595
Adams,18001,-0.511454831,-0.020242098,0.184398117,0.516700291,-0.179533737,-0.02176642,0.11466039,0.205357543,-0.589576328,-0.458103564,-0.336538893,-0.23822013,26.24117647,0.090703454,0.240721606,0.170013125,0.091708788,0.484207881,0.4714178,0.012790081,5.585188081
Adams,19003,-0.482214105,0.085248665,0.373756673,0.755886485,-0.119190784,0.046653554,0.191862883,0.310323124,-0.559786457,-0.401966845,-0.236504636,-0.118044394,26.16911765,0.044816415,0.281317495,0.280777538,0.111771058,0.593682505,0.583423326,0.010259179,43.19654428
Adams,31001,-0.523475046,0.046210721,0.293900185,0.651756007,-0.146025878,0.004436229,0.142698706,0.216266174,-0.573012939,-0.424029575,-0.280961183,-0.170425139,27.05,0.065790739,0.185130588,0.247588527,0.160294825,0.53962506,0.522800833,0.016824227,50.95337286
Adams,38001,-0.521395848,-0.022712956,0.21932713,0.590966356,-0.207802434,-0.072727273,0.0565068,0.142297781,-0.603901217,-0.461889764,-0.323163923,-0.20123121,27.39215686,0.040909091,0.256363636,0.258181818,0.190909091,0.475909091,0.465909091,0.01,9.090909091
Adams,39001,-0.369252521,0.286081817,0.626042415,1.105958976,0.021773091,0.199082165,0.369298876,0.439276857,-0.488877043,-0.292182176,-0.098324255,0.057234906,21.1495098,0.136987298,0.307639116,0.155329912,0.091057976,0.394984896,0.367834916,0.02714998,2.183644503
Adams,42001,-0.60921041,-0.213298674,-0.027093611,0.252816589,-0.363950019,-0.243428943,-0.140383422,-0.06505775,-0.682125661,-0.566425428,-0.459462972,-0.366661743,33.18921569,0.077427493,0.276778492,0.184762932,0.154537226,0.533644032,0.515733929,0.017910103,18.68042984
Adams,53001,-0.506528439,-0.020297002,0.226629308,0.584824881,-0.20320538,-0.058402914,0.076873074,0.163373494,-0.60141216,-0.456228635,-0.315998879,-0.199775848,26.24264706,0.171784796,0.14912919,0.124484549,0.07432203,0.478338912,0.451414156,0.026924756,23.77140639
Adams,55001,-0.481518549,0.084934909,0.362404997,0.756926782,-0.146482053,0.018925427,0.16169012,0.240364211,-0.573241026,-0.403228234,-0.244344947,-0.117698849,26.05686275,0.097462961,0.331945386,0.242374358,0.108017817,0.393144185,0.373632226,0.019511959,62.94180304
Addison,50001,-0.609323946,-0.121048196,0.110196537,0.459836355,-0.31957485,-0.195911599,-0.093043738,-0.026221219,-0.659787425,-0.520319678,-0.375583766,-0.26301139,36.06568627,0.044268394,0.198137195,0.168482188,0.269464443,0.552846399,0.540374167,0.012472232,17.93217889
Aiken,45003,-0.467239195,0.072342672,0.286667605,0.622694636,-0.13408419,0.056905533,0.189736731,0.276615515,-0.567042095,-0.412670703,-0.287737576,-0.185421653,27.85490196,0.084119236,0.229112364,0.201400408,0.184760201,0.443705275,0.431330269,0.012375006,57.93564286
Aitkin,27001,-0.460501386,0.116115989,0.384195933,0.810570702,-0.098151571,0.067213494,0.214706562,0.299942237,-0.549075786,-0.385674677,-0.223255545,-0.090884935,50.91764706,0.069057782,0.290565076,0.286424157,0.071160094,0.463082118,0.43511499,0.027967127,12.74128814
Alachua,12001,-0.442149158,0.202405774,0.507914996,0.93734563,-0.078155573,0.105068164,0.244121893,0.331643945,-0.539077787,-0.345220529,-0.173857257,-0.027850842,24.45098039,0.042938506,0.1233499,0.163128259,0.251705762,0.499059138,0.483682147,0.015376991,0
Alamance,37001,-0.516774494,0.0481031,0.332125666,0.720325035,-0.207059676,-0.044459397,0.083649915,0.153687697,-0.603353864,-0.426675638,-0.267242896,-0.136669945,28.41323529,0.087775282,0.1772657,0.216725491,0.15920427,0.484152495,0.466161071,0.017991424,61.83822886
Alameda,6001,-0.585132309,-0.116604857,0.102584837,0.458483674,-0.350204947,-0.219184117,-0.143719153,-0.020661964,-0.675007668,-0.52824917,-0.4091738,-0.266397122,52.73970588,0.080556221,0.12243566,0.163493036,0.330551912,0.499939668,0.484968969,0.014970699,45.13321521
Alamosa,8003,-0.262753513,0.509193207,0.894098867,1.426880904,0.19689111,0.434454243,0.634647895,0.74622249,-0.401554445,-0.165592861,0.051683982,0.225185146,18.73186275,0.077186126,0.167440156,0.195652174,0.14710552,0.518380557,0.500793845,0.017586712,134.9535906
Albany,36001,-0.55560166,-0.050950899,0.23208852,0.598893499,-0.295487552,-0.163226141,-0.054771784,0.014885892,-0.647596819,-0.483004841,-0.326936376,-0.193205394,34.02352941,0.051154843,0.14941178,0.178079581,0.272201189,0.498294415,0.480920952,0.017373463,68.92214656
Albany,56001,-0.504220928,0.043909913,0.309575609,0.708855523,-0.171748123,-0.007269802,0.131423319,0.240033706,-0.585874062,-0.42295848,-0.272544814,-0.137367857,25.59607843,0.023471645,0.085091458,0.170911347,0.299951438,0.5570334,0.539470134,0.017563266,24.01122322
Albemarle,51003,-0.630667655,-0.237941899,-0.066862809,0.183139508,-0.398623917,-0.281420562,-0.196353612,-0.140114905,-0.69919381,-0.586243803,-0.489125701,-0.406421721,42.31960784,0.05150585,0.102255438,0.137372659,0.357800614,0.518884292,0.506597269,0.012287023,27.31438231
Alcona,26001,-0.349516763,0.299737292,0.646858355,1.142956304,0.058080066,0.217382083,0.39536767,0.496898122,-0.470714131,-0.282157576,-0.083767564,0.076026126,40.67745098,0.08921019,0.329103964,0.27717124,0.070964886,0.382610406,0.359004623,0.023605783,0.983574309
Aleutians West,2016,-0.59862616,-0.191955244,-0.005112952,0.276595142,-0.381686849,-0.24661143,-0.161135897,-0.081679768,-0.690843425,-0.562028185,-0.457772112,-0.35664613,41.53235294,0.083142202,0.307912844,0.263379205,0.134365443,0.69896789,0.677370031,0.021597859,17.20183486
Alexander,37003,-0.498908297,0.004039301,0.238624454,0.570087336,-0.186746725,-0.028253275,0.106855895,0.168100437,-0.593187773,-0.446200873,-0.310349345,-0.211615721,26.94117647,0.129623532,0.284573592,0.217319723,0.104598837,0.496405444,0.480408298,0.015997146,21.12830644
Alexandria City,51510,-0.603887356,-0.221097779,-0.00275858,0.310035189,-0.434664535,-0.332255895,-0.260669273,-0.185503319,-0.717431693,-0.583007925,-0.464094591,-0.343391592,50.28872549,0.052368202,0.087052494,0.137426552,0.473345582,0.636695994,0.623683897,0.013012097,28.59525795
Alfalfa,40003,-0.533436527,-0.042036976,0.176165713,0.478101466,-0.226178757,-0.06864706,0.059790946,0.109463102,-0.612911978,-0.471701132,-0.345037132,-0.257756057,28.18480392,0.113879628,0.287418845,0.1982804,0.167397789,0.490436919,0.481137042,0.009299877,7.018775224
Alger,26003,-0.501753849,0.129149852,0.502541838,0.969184278,-0.179864206,-0.033940901,0.107300373,0.162704409,-0.589932103,-0.381191546,-0.175182175,-0.011701253,25.62990196,0.079959285,0.357498304,0.21556209,0.13775164,0.360212622,0.332730152,0.02748247,13.57159014
