County,State,FIPS,live 2a1w1c,min 1a1c,pct_less_hs,pct_hs,pct_some_college,pct_college,crime_per_10k_x,unemployment_rate_2019,median_household_income_2019,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes,Unnamed: 0,crime_per_10k_y,violent_crime_per_10k,hard_drugs_crime_per_10k,soft_drugs_crime_per_10k,commerce_crimes_per_10k
Autauga County,AL,1001,26.69,7.25,11.5,33.6,28.4,26.6,266.14,2.7,58233,7238,7379,9960,11672,3554,5144,44948,10559,55507,1,266.13643315998775,33.82937757544131,3.418926457092473,18.894067262879457,26.811581163514656
Baldwin County,AL,1003,27.3,7.25,9.2,27.7,31.3,31.9,418.72,2.8,59871,7238,7379,10992,11672,3554,5144,45980,10800,56780,2,418.7175541008027,55.59269712075595,11.800548299240369,21.62686038111733,42.76016170789381
Barbour County,AL,1005,25.28,7.25,26.8,35.6,26.0,11.6,140.27,3.8,35972,7238,7379,7596,11672,3554,5144,42584,10006,52590,3,140.27241309209188,37.81256352917259,7.725147387680423,4.065867046147591,15.043708070746089
Bibb County,AL,1007,27.8,7.25,20.9,44.9,23.8,10.4,279.04,3.1,47918,7238,7379,11832,11672,3554,5144,46820,10996,57816,4,279.0363823964829,65.04867435287784,4.486115472612265,8.523619397963303,30.95419676102463
Blount County,AL,1009,27.8,7.25,19.5,33.4,34.0,13.1,210.85,2.7,52902,7238,7379,11832,11672,3554,5144,46820,10996,57816,5,210.85029982488103,27.94827799692215,2.476429695929811,5.12974722728318,24.233633453027437
Bullock County,AL,1011,25.13,7.25,25.3,40.3,22.3,12.1,75.61,3.7,31906,7238,7379,7344,11672,3554,5144,42332,9947,52279,6,75.60684440907282,40.78790290489455,0.0,0.9948269001193792,5.968961400716276
Butler County,AL,1013,25.13,7.25,15.0,45.2,23.7,16.1,119.8,3.7,39944,7238,7379,7344,11672,3554,5144,42332,9947,52279,7,119.8033995494573,48.1261519557649,4.607823059594511,1.535941019864837,28.15891869752201
Calhoun County,AL,1015,25.76,7.25,15.6,32.8,33.2,18.5,323.28,3.6,47747,7238,7379,8400,11672,3554,5144,43388,10194,53582,8,323.27927737573293,56.25693307273784,16.375257514130265,18.66427200535277,47.717148240100016
Chambers County,AL,1017,25.64,7.25,18.4,36.7,31.6,13.3,490.2,2.9,42015,7238,7379,8196,11672,3554,5144,43184,10146,53330,9,490.1960784313725,62.280231241432745,22.349365278026102,9.23773764825079,33.07706061147864
Cherokee County,AL,1019,25.13,7.25,18.4,40.3,28.6,12.8,414.63,2.9,45982,7238,7379,7344,11672,3554,5144,42332,9947,52279,10,414.6332090842716,50.3400837720478,15.755293394305038,11.528263459247588,49.18725742612305
Chilton County,AL,1021,25.86,7.25,18.2,44.4,24.6,12.7,53.73,2.7,49692,7238,7379,8568,11672,3554,5144,43556,10233,53789,11,53.73053118411209,7.254755265365345,0.453422204085334,0.680133306128001,2.040399918384004
Choctaw County,AL,1023,25.18,7.25,18.6,37.7,31.8,11.9,55.02,4.7,39808,7238,7379,7416,11672,3554,5144,42404,9964,52368,12,55.022795157994025,6.288319446627889,3.9301996541424304,1.5720798616569722,3.1441597233139444
Clarke County,AL,1025,25.13,7.25,19.4,41.8,26.6,12.2,159.9,5.8,43822,7238,7379,7344,11672,3554,5144,42332,9947,52279,13,159.8953718938531,37.96987723073029,10.125300594861413,4.640762772644813,31.641564358941903
Clay County,AL,1027,25.13,7.25,23.3,37.8,28.3,10.6,213.6,3.0,40562,7238,7379,7344,11672,3554,5144,42332,9947,52279,14,213.6039993940312,59.081957279200125,4.544765944553856,9.846992879866686,28.783517648841087
Cleburne County,AL,1029,25.13,7.25,21.0,38.0,25.6,15.4,184.15,3.2,51276,7238,7379,7344,11672,3554,5144,42332,9947,52279,15,184.14731785428344,37.363223912463305,8.00640512409928,10.675206832132371,10.008006405124098
Coffee County,AL,1031,25.51,7.25,14.1,27.2,35.9,22.8,229.4,2.9,57299,7238,7379,7980,11672,3554,5144,42968,10096,53064,16,229.4000306889673,40.47107564830444,5.562375326070279,10.54933251496087,25.318398035906093
Colbert County,AL,1033,25.86,7.25,14.8,37.8,29.2,18.1,175.36,3.8,46683,7238,7379,8568,11672,3554,5144,43556,10233,53789,17,175.3585635560746,41.42184591803218,1.4598007371993722,11.313455713295136,30.83829057333674
Conecuh County,AL,1035,25.13,7.25,15.7,51.1,20.4,12.8,157.1,4.0,41539,7238,7379,7344,11672,3554,5144,42332,9947,52279,18,157.09820694193124,27.965125843066293,9.047540713933213,4.112518506333278,13.160059220266492
Coosa County,AL,1037,25.49,7.25,20.0,40.3,26.9,12.8,253.05,3.0,42024,7238,7379,7944,11672,3554,5144,42932,10087,53019,19,253.04503824001512,38.71211405910679,0.9441979038806532,11.33037484656784,21.716551789255025
Covington County,AL,1039,25.13,7.25,16.6,37.3,30.8,15.3,248.57,3.5,44836,7238,7379,7344,11672,3554,5144,42332,9947,52279,20,248.57011195142445,39.84711718305277,9.758477677482311,1.0842752974980348,19.788024179339136
Crenshaw County,AL,1041,25.13,7.25,20.8,39.5,22.3,17.4,209.1,2.8,43309,7238,7379,7344,11672,3554,5144,42332,9947,52279,21,209.10209102091025,60.77707835901889,2.894146588524709,5.788293177049418,27.49439259098473
Cullman County,AL,1043,25.37,7.25,18.4,34.1,33.6,13.9,169.78,2.6,50897,7238,7379,7740,11672,3554,5144,42728,10039,52768,22,169.7847563594712,40.80561256144705,2.5056077888607837,8.113396649644441,33.408103851477115
Hale County,AL,1045,27.08,7.25,13.9,32.3,35.7,18.1,182.68,3.2,45120,7238,7379,7344,11672,3554,5144,42332,9947,52279,23,182.67656253322843,35.089211662377984,1.2759713331773814,3.40259022180635,19.56489377538652
Dallas County,AL,1047,25.18,7.25,18.2,35.9,31.2,14.7,70.87,5.5,34034,7238,7379,7416,11672,3554,5144,42404,9964,52368,24,70.86927670869277,19.110816191108164,1.06171201061712,9.289980092899802,7.962840079628401
DeKalb County,AL,1049,25.13,7.25,25.2,34.2,27.6,13.0,135.24,2.8,44277,7238,7379,7344,11672,3554,5144,42332,9947,52279,25,135.24297534545758,20.860458930096463,3.080067761490753,2.520055441219707,7.140157083455836
Elmore County,AL,1051,26.69,7.25,13.4,32.5,29.1,25.1,375.08,2.6,62310,7238,7379,9960,11672,3554,5144,44948,10559,55507,26,375.0794659885569,51.60614786283236,1.994440497114294,12.714558169103624,37.76971691410194
Escambia County,AL,1053,25.13,7.25,18.9,43.7,24.9,12.5,230.85,3.5,42712,7238,7379,7344,11672,3554,5144,42332,9947,52279,27,230.8533916849015,28.719912472647703,26.2582056892779,11.761487964989058,22.702407002188185
Etowah County,AL,1055,25.71,7.25,15.4,32.9,33.9,17.8,148.22,3.4,43047,7238,7379,8316,11672,3554,5144,43304,10174,53478,28,148.22280852577595,38.14266939396634,1.877488907993162,9.881520568385064,30.8303441733614
Fayette County,AL,1057,25.13,7.25,17.4,41.3,28.9,12.4,120.52,3.1,44212,7238,7379,7344,11672,3554,5144,42332,9947,52279,29,120.52054618885826,13.462401435989486,1.2821334700942368,0.6410667350471184,8.974934290659657
Franklin County,AL,1059,25.13,7.25,22.8,36.6,26.6,14.0,173.36,2.8,44874,7238,7379,7344,11672,3554,5144,42332,9947,52279,30,173.36057723006195,33.52276355277441,2.873379733094949,7.023817125343209,21.70998020560628
Geneva County,AL,1061,25.52,7.25,19.7,36.0,31.8,12.5,239.96,3.0,43089,7238,7379,7992,11672,3554,5144,42980,10098,53079,31,239.96343414336863,42.27927173002209,3.8089433991010897,9.141464157842616,14.47398491658414
Greene County,AL,1063,25.13,7.25,20.8,38.6,30.5,10.1,100.69,5.6,28699,7238,7379,7344,11672,3554,5144,42332,9947,52279,32,100.68762278978387,44.20432220039292,3.6836935166994103,4.911591355599214,7.367387033398821
Hale County,AL,1065,27.08,7.25,16.0,43.4,26.4,14.2,6.85,4.0,40745,7238,7379,7344,11672,3554,5144,42332,9947,52279,33,6.84603272403642,0.684603272403642,0.0,0.0,0.684603272403642
Henry County,AL,1067,25.13,7.25,20.6,32.6,29.8,17.1,283.24,3.6,48597,7238,7379,7344,11672,3554,5144,42332,9947,52279,34,283.2383389554496,37.222286844248,13.958357566592996,9.305571711062,9.887169943003371
Houston County,AL,1069,25.52,7.25,14.0,31.2,33.1,21.7,409.17,3.0,50138,7238,7379,7992,11672,3554,5144,42980,10098,53079,35,409.1748006925814,63.93058964552771,19.69290484616702,19.788039652187148,47.47226820404513
Jackson County,AL,1071,25.38,7.25,16.8,41.0,28.2,14.0,91.14,3.3,44322,7238,7379,7764,11672,3554,5144,42752,10045,52797,36,91.1435608043904,14.9320301743363,4.654139275117808,3.8784493959315065,36.65134679155274
Jefferson County,AL,1073,27.8,7.25,9.9,26.4,30.3,33.4,111.88,2.9,54127,7238,7379,11832,11672,3554,5144,46820,10996,57816,37,111.87861702807773,13.80597355707027,5.129672644688734,7.808670821143384,18.889981460114893
Lamar County,AL,1075,25.13,7.25,17.7,39.8,30.6,11.9,74.82,3.1,42686,7238,7379,7344,11672,3554,5144,42332,9947,52279,38,74.81659039732695,19.612115929396385,0.7263746640517178,3.6318733202585896,13.074743952930922
Lauderdale County,AL,1077,25.86,7.25,12.6,36.0,27.9,23.5,256.93,3.3,48188,7238,7379,8568,11672,3554,5144,43556,10233,53789,39,256.9266248741352,24.902285596734558,4.439103084635289,4.0060198568659935,15.915808620521648
Lawrence County,AL,1079,25.67,7.25,20.7,41.2,25.5,12.6,178.1,3.2,47797,7238,7379,8244,11672,3554,5144,43232,10157,53389,40,178.0976487450825,38.42517764020616,3.964502454941905,2.439693818425788,9.453813546399926
Lee County,AL,1081,26.55,7.25,9.1,23.7,31.8,35.3,227.47,2.8,54160,7238,7379,9732,11672,3554,5144,44720,10505,55225,41,227.4662224689987,30.538589672404218,2.652847183663397,3.269788389166512,21.099389228206554
Limestone County,AL,1083,26.34,7.25,15.3,30.4,28.6,25.7,83.23,2.7,64729,7238,7379,9384,11672,3554,5144,44372,10424,54796,42,83.23332856246353,12.11066949982935,0.2201939909059881,1.7615519272479054,13.652027436171268
Lowndes County,AL,1085,26.69,7.25,21.7,39.6,24.0,14.7,23.41,5.8,33930,7238,7379,9960,11672,3554,5144,44948,10559,55507,43,23.414435508500457,14.252265092130711,0.0,1.0180189351521938,1.0180189351521938
Marion County,AL,1087,25.13,7.25,18.2,30.2,31.2,20.4,130.45,4.3,34281,7238,7379,7644,11672,3554,5144,42632,10017,52649,44,130.45160577082527,48.64297164335858,2.211044165607208,0.552761041401802,13.81902603504505
Marion County,AL,1089,25.13,7.25,8.3,20.6,28.3,42.8,116.09,2.6,68609,7238,7379,7344,11672,3554,5144,42332,9947,52279,45,116.08860728751492,27.956252243111454,8.068455039276374,8.68910542691302,21.884672364057327
Marengo County,AL,1091,25.13,7.25,16.2,38.0,29.8,16.1,238.78,3.5,38838,7238,7379,7344,11672,3554,5144,42332,9947,52279,46,238.77745940783188,56.7759736814178,3.183699458771092,6.367398917542184,44.57179242279528
Marion County,AL,1093,25.13,7.25,20.4,34.8,32.0,12.8,226.4,3.5,44675,7238,7379,7344,11672,3554,5144,42332,9947,52279,47,226.3972426843279,41.56247888085423,9.799283638575387,11.15090896803406,35.4801648982902
Marshall County,AL,1095,25.28,7.25,18.4,31.1,31.1,19.4,257.41,2.5,48913,7238,7379,7596,11672,3554,5144,42584,10006,52590,48,257.40932642487047,21.6580310880829,1.9689119170984457,5.492227979274611,27.150259067357517
"Mobile, AL",AL,1097,26.74,7.25,13.5,34.0,29.3,23.2,118.22,3.7,49492,7238,7379,10488,11672,3554,5144,45476,10682,56158,49,118.22067375877955,39.86595375066141,6.910098650114645,1.304703940930737,29.766578800493857
Monroe County,AL,1099,25.13,7.25,14.4,47.2,24.9,13.5,13.44,4.8,40005,7238,7379,7344,11672,3554,5144,42332,9947,52279,50,13.43570057581574,1.919385796545105,0.9596928982725528,0.9596928982725528,1.919385796545105
"Montgomery, AL",AL,1101,26.66,7.25,13.3,25.0,28.4,33.4,38.12,3.1,52711,7238,7379,9960,11672,3554,5144,44948,10559,55507,51,38.12017395935031,22.36620218336736,0.4437738528445904,1.286944173249312,7.721665039495873
Morgan County,AL,1103,25.67,7.25,15.9,30.4,31.3,22.4,228.57,2.6,54355,7238,7379,8244,11672,3554,5144,43232,10157,53389,52,228.5651885389804,27.384142397540465,2.7720144144749552,2.940015288079498,30.912160743235862
